statename,coor1,rank,countryd,coor2,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Texas,"[-98.82202148437499, 31.80055833029521]",0,World,,277715.52,285559.32,248605.73,231106.72,17.5934,17.6068,16.5395,15.9273,-7.04
Texas,"[-98.82202148437499, 31.80055833029521]",0,Top 25,,235083.09,242723.81,213584.37,199040.97,84.6489,84.9994,85.9129,86.1251,-6.81
California,"[-119.7509765625,36.84446074079564]",0,World,,168191.55,173868.59,165379.58,163512.85,10.655,10.7202,11.0026,11.2689,-1.13
California,"[-119.7509765625,36.84446074079564]",0,Top 25,,147928.18,151359.43,146635.66,145057.22,87.9522,87.0539,88.6661,88.713,-1.08
Texas,"[-98.82202148437499, 31.80055833029521]",1,Mexico,"[-102.3046875,23.926013033021192]",99256.92,100096.45,92945.64,91745.88,35.7405,35.0528,37.3868,39.6985,-1.29
New York,"[-75.706787109375,42.771211138625894]",0,World,,86407.15,88834.33,83134.46,76720.21,5.4739,5.4773,5.5309,5.2874,-7.72
Washington,"[-120.1080322265625, 48.011975126709956]",0,World,,81629.98,90558.27,86378.71,79559.49,5.1713,5.5836,5.7467,5.483,-7.89
New York,"[-75.706787109375,42.771211138625894]",0,Top 25,,76703.69,80783,75729.23,70087.45,88.7701,90.9367,91.0925,91.3546,-7.45
Washington,"[-120.1080322265625, 48.011975126709956]",0,Top 25,,69421.91,74795.26,74503.02,70160.12,85.0446,82.5935,86.2516,88.1857,-5.83
Illinois,"[-89.000244140625,40.10328591293439]",0,World,,66212.89,68394,63401.86,59757.9,4.1946,4.217,4.2181,4.1184,-5.75
Louisiana,"[-92.26318359375,30.968189296794247]",0,World,,63247.02,64770.1,48685.89,48418.79,4.0067,3.9935,3.239,3.3369,-0.55
Florida,"[-81.947021484375,28.87353946316266]",0,World,      ,60482.24,58438.83,53899.59,52049.37,3.8316,3.6032,3.5859,3.5871,-3.43
Michigan,"[-84.638671875,44.84029065139799]",0,World,,59399.81,57573.11,53954.03,54713.48,3.763,3.5498,3.5895,3.7707,1.41
Illinois,"[-89.000244140625,40.10328591293439]",0,Top 25,,58841.7,61027.11,56711.76,53337.96,88.8674,89.2287,89.4481,89.2567,-5.95
Michigan,"[-84.638671875,44.84029065139799]",0,Top 25,,55852.27,54280.33,51201.1,51864.02,94.0277,94.2807,94.8976,94.792,1.29
Ohio,"[-82.6611328125,40.40513069752789]",0,World,,51048.2,52641.38,51156.63,49298.84,3.2339,3.2457,3.4034,3.3976,-3.63
Louisiana,"[-92.26318359375,30.968189296794247]",0,Top 25,,48254.74,51459.98,38957.54,38552.75,76.2957,79.4502,80.0181,79.6235,-1.04
Unidentified,"[-126.71630859375, 40.98819156349393]",0,World,,47688.95,49023.85,46775.47,45767.93,3.0211,3.0227,3.1119,3.1542,-2.15
Ohio,"[-82.6611328125,40.40513069752789]",0,Top 25,,45641.05,47724.78,46567.81,45110.86,89.4078,90.6602,91.0299,91.5049,-3.13
Florida,"[-81.947021484375,28.87353946316266]",0,Top 25,,45621.9,42862.43,38694.31,38491.05,75.4302,73.3458,71.7896,73.951,-0.53
Pennsylvania,"[-78.28857421875,41.09591205639546]",0,World,,41180.77,40410.83,39437.33,36484.39,2.6088,2.4916,2.6237,2.5144,-7.49
Unidentified,"[-126.71630859375, 40.98819156349393]",0,Top 25,,40115.03,41482.73,40033.97,39522.1,84.1181,84.6174,85.5875,86.3533,-1.28
Georgia,"[-83.419189453125,32.99023555965106]",0,World,,37578.24,39412.65,38595.25,35644.33,2.3806,2.4301,2.5677,2.4565,-7.65
New Jersey,"[-74.48181152343749,40.136890695345905]",0,World,,36611.87,36586.97,32063.57,31222.79,2.3194,2.2558,2.1332,2.1518,-2.62
