statename,rank,hs6,abbreviatn,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Alabama,0,0,World,19301.32,19450.4,19328.18,20422.13,1.2228,1.1993,1.2859,1.4074,5.66
Alabama,0,25,Top 25,11547.14,11838.45,12072.45,13873.8,59.8257,60.8648,62.4604,67.9351,14.92
Alabama,1,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,1655.65,2727.81,3142.5,3539.26,8.5779,14.0244,16.2587,17.3305,12.63
Alabama,2,870333,PASS VEH COM-IG INT COM ENG > 2500 CC,1749.59,1621.3,1760.87,2046.18,9.0646,8.3356,9.1104,10.0194,16.2
Alabama,3,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,2612.58,1915.55,1669.7,1820.76,13.5357,9.8484,8.6387,8.9156,9.05
Alabama,4,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",592.72,595.33,605.61,862.7,3.0709,3.0607,3.1333,4.2243,42.45
Alabama,5,270112,"BITUMINOUS COAL, NOT AGGLOMERATED",1238.48,1113.65,694.61,511.24,6.4166,5.7256,3.5938,2.5034,-26.4
Alabama,6,840734,SPARK-IGNTN RECPRCTING PISTON ENGINE ETC > 10,359.36,346.81,353.12,488.47,1.8619,1.783,1.8269,2.3919,38.33
Alabama,7,870332,PASS VEH COM-IG INT COM ENG > 1500 NOV 2500 C,449.2,382.87,436.67,466.51,2.3273,1.9684,2.2592,2.2843,6.83
Alabama,8,470321,"CHEMICAL WOODPULP, SODA ETC. N DIS S BL & BL",322.22,359.73,343.68,413.47,1.6694,1.8495,1.7781,2.0246,20.31
Alabama,9,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,95.51,63.84,174.98,408.54,0.4948,0.3282,0.9053,2.0005,133.48
Alabama,10,390740,"POLYCARBONATES, PR FMS",464.94,599.5,510.04,379.32,2.4088,3.0822,2.6388,1.8574,-25.63
Alabama,11,382490,"PRODUCTS AND RESIDUALS OF CHEMICAL INDUSTRY,",433.43,263.1,184.65,350.53,2.2456,1.3527,0.9553,1.7164,89.84
Alabama,12,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,20.77,38.69,121.46,320.54,0.1076,0.1989,0.6284,1.5695,163.91
Alabama,13,120190,"SOYBEANS, NESOI",29.5,221.41,244.32,288.9,0.1529,1.1383,1.264,1.4146,18.25
Alabama,14,481039,"KRAFT PPR/PBRD EX GRAPHIC, CLAY CTD UNBLCH RL",115.48,78.68,212.52,253.03,0.5983,0.4045,1.0995,1.239,19.06
Alabama,15,870830,BRAKES AND SERVO-BREAKS; PARTS THEREOF,119.72,180.25,284.56,247.62,0.6203,0.9267,1.4723,1.2125,-12.98
Alabama,16,721913,FR SS 600MM AO W HR CLS 3-UN 4.75MM THCK,25.94,118.38,60.04,218.01,0.1344,0.6086,0.3106,1.0675,263.13
Alabama,17,760612,"ALUMINUM ALLOY RECT PLATES ETC, OVER .2 MM TH",164.28,112.37,238.71,190.44,0.8512,0.5777,1.235,0.9325,-20.22
Alabama,18,900120,SHEETS AND PLATES OF POLARIZING MATERIAL,236.41,264.81,138.13,166.29,1.2248,1.3615,0.7147,0.8143,20.39
Alabama,19,20714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), F",350.3,262.44,168.06,160.12,1.8149,1.3493,0.8695,0.7841,-4.72
Alabama,20,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",105.34,97.65,123.58,132.51,0.5458,0.502,0.6394,0.6488,7.23
Alabama,21,381519,"SUPPORTED CATALYSTS, NESOI",55.72,70.1,115.71,130.65,0.2887,0.3604,0.5986,0.6398,12.91
Alabama,22,293090,ORGANO-SULFUR COMPOUNDS NESOI,185.62,174.19,137.83,126.58,0.9617,0.8955,0.7131,0.6198,-8.16
Alabama,23,440710,"CONIFEROUS WOOD SAWN, SLICED ETC, OVER 6 MM T",94.31,116.39,125.28,121.62,0.4886,0.5984,0.6482,0.5955,-2.93
Alabama,24,722592,FLT-RLD ALLOY STL NESOI 600AO PLT/CTD ZINC NT,56.28,91.51,133.7,118.39,0.2916,0.4705,0.6917,0.5797,-11.45
