statename,rank,countryd,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Alabama,0,World,18940.76,22241.8,21897.2,22132.1,0.8351,0.9439,0.974,1.0116,1.07
Alabama,0,Top 25,17569.05,20374.24,19849.29,20312.19,92.7579,91.6034,90.6476,91.7771,2.33
Alabama,1,"Korea, South",4037.33,4723.22,4685.52,4526.8,21.3156,21.2358,21.3978,20.4535,-3.39
Alabama,2,Germany,3016.41,3609.96,4109.49,3869.29,15.9255,16.2305,18.7672,17.4827,-5.85
Alabama,3,Mexico,1405.59,3554.05,2878.11,3177.12,7.421,15.9792,13.1437,14.3552,10.39
Alabama,4,Canada,2026.48,2226.31,2043.27,2075.59,10.699,10.0096,9.3312,9.3782,1.58
Alabama,5,China,1973.2,2037.57,2183.25,1872.48,10.4178,9.161,9.9704,8.4605,-14.23
Alabama,6,Japan,1320.04,1310.91,1015.16,824.9,6.9693,5.8939,4.636,3.7271,-18.74
Alabama,7,Iraq,0,60.41,217.07,534.68,0,0.2716,0.9913,2.4159,146.32
Alabama,8,Russia,147.55,63.24,174.99,336.17,0.779,0.2843,0.7991,1.5189,92.11
Alabama,9,United Kingdom,199.16,190.73,242.13,318.89,1.0515,0.8575,1.1057,1.4409,31.71
Alabama,10,Vietnam,177.23,202.57,256.46,301.41,0.9357,0.9108,1.1712,1.3618,17.52
Alabama,11,Colombia,187.77,229.75,176.04,264.59,0.9914,1.033,0.8039,1.1955,50.3
Alabama,12,France,211.85,171.87,166.07,231.6,1.1185,0.7727,0.7584,1.0464,39.46
Alabama,13,Czech Republic,159.06,247.25,239.78,222.94,0.8398,1.1117,1.095,1.0073,-7.02
Alabama,14,Brazil,1578.19,690.61,173.89,197.03,8.3323,3.105,0.7941,0.8902,13.31
Alabama,15,Italy,256.83,160.21,167.1,188.78,1.356,0.7203,0.7631,0.853,12.98
Alabama,16,Hungary,83.84,119.66,167.72,187.93,0.4427,0.538,0.766,0.8491,12.05
Alabama,17,Argentina,21.67,5.88,8.38,186.87,0.1144,0.0265,0.0382,0.8443,2131.24
Alabama,18,Indonesia,84.04,70.54,91.68,160.21,0.4437,0.3172,0.4187,0.7239,74.75
Alabama,19,India,91.67,115.49,141.16,149.85,0.484,0.5192,0.6447,0.6771,6.16
Alabama,20,Taiwan,142.35,146.42,188.73,136.99,0.7515,0.6583,0.8619,0.6189,-27.42
Alabama,21,Bangladesh,0.7,2.02,17.04,120.99,0.0037,0.0091,0.0778,0.5467,609.93
Alabama,22,El Salvador,110.36,110.86,120.75,118.22,0.5827,0.4985,0.5515,0.5341,-2.1
Alabama,23,Australia,83.88,104.45,135.92,106.45,0.4429,0.4696,0.6207,0.481,-21.68
Alabama,24,Honduras,219.18,170.18,170.29,104,1.1572,0.7651,0.7777,0.4699,-38.93
Alabama,25,Austria,34.64,50.06,79.29,98.44,0.1829,0.2251,0.3621,0.4448,24.16
Alaska,0,World,1480.64,2015.58,2493.68,2094.15,0.0653,0.0855,0.1109,0.0957,-16.02
Alaska,0,Top 25,1432.55,1988.55,2453.25,2075.84,96.7518,98.6588,98.3786,99.1253,-15.38
Alaska,1,Canada,547.57,645.88,611.84,481.55,36.9822,32.0444,24.5356,22.995,-21.29
Alaska,2,China,181.16,339.03,662.59,454.86,12.2353,16.8204,26.5706,21.7206,-31.35
Alaska,3,"Korea, South",438.65,357.38,328.63,317.18,29.6258,17.731,13.1783,15.1462,-3.48
