statename,rank,hs6,abbreviatn,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Alabama,0,0,World,18940.76,22241.8,21897.2,22132.1,0.8351,0.9439,0.974,1.0116,1.07
Alabama,0,25,Top 25,6591.53,10105.95,10337.65,10569.21,34.8008,45.4368,47.2099,47.7551,2.24
Alabama,1,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,346.48,2645.55,1816.26,1895.71,1.8293,11.8945,8.2945,8.5654,4.37
Alabama,2,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",597.59,824.89,1158.52,1053.55,3.1551,3.7087,5.2907,4.7603,-9.06
Alabama,3,840734,SPARK-IGNTN RECPRCTING PISTON ENGINE ETC > 10,641.58,878.81,944.31,855.84,3.3873,3.9512,4.3125,3.8669,-9.37
Alabama,4,870899,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESO",594.53,774.69,652.83,696.97,3.1389,3.483,2.9813,3.1491,6.76
Alabama,5,940190,"PARTS OF SEATS (EX MEDICAL, BARBER, DENTAL ET",447.8,538.95,579.37,689.53,2.3642,2.4232,2.6459,3.1155,19.01
Alabama,6,870840,GEAR BOXES FOR MOTOR VEHICLES,334.19,455.04,612.59,564.32,1.7644,2.0459,2.7976,2.5498,-7.88
Alabama,7,870894,"STEERING WHEELS, COLUMNS & BOXES F MOTOR VEHI",359.13,418.96,443.81,479.14,1.8961,1.8837,2.0268,2.1649,7.96
Alabama,8,840820,COMPRESSION-IGNTN INT COMBUSTION PISTON ENGIN,402.99,395.89,453.41,427.26,2.1276,1.78,2.0706,1.9305,-5.77
Alabama,9,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,304.39,321.08,345.49,356.01,1.6071,1.4436,1.5778,1.6086,3.05
Alabama,10,870830,BRAKES AND SERVO-BREAKS; PARTS THEREOF,298.54,344.36,383.02,352.33,1.5762,1.5482,1.7492,1.592,-8.01
Alabama,11,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",88.79,109.88,103.35,338.06,0.4688,0.494,0.472,1.5275,227.12
Alabama,12,852721,RADIOBROADCAST RECEIVERS FOR MOTOR VEHICLES W,167.25,237.18,280.43,315.65,0.883,1.0664,1.2807,1.4262,12.56
Alabama,13,840991,SPARK-IGNITION INT COMBUSTION PISTON ENG PTS,465.67,511.38,420.58,298.66,2.4585,2.2992,1.9207,1.3495,-28.99
Alabama,14,854430,INSULATED WIRING SETS FOR VEHICLES SHIPS AIRC,147.12,143.72,242.59,229.62,0.7767,0.6462,1.1079,1.0375,-5.35
Alabama,15,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,24.82,24.62,183.26,228.91,0.131,0.1107,0.8369,1.0343,24.91
Alabama,16,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,206.39,200.48,194.63,199.39,1.0897,0.9014,0.8889,0.9009,2.44
Alabama,17,870870,ROAD WHEELS & PTS & ACCESSORIES FOR MOTOR VEH,209.77,232.16,218.28,193.76,1.1075,1.0438,0.9969,0.8755,-11.23
Alabama,18,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,170.42,188.22,227.54,192.11,0.8998,0.8462,1.0391,0.868,-15.57
Alabama,19,760120,UNWROUGHT ALUMINUM ALLOYS,43.78,67.47,133.55,187.76,0.2312,0.3033,0.6099,0.8484,40.59
Alabama,20,851150,"INTERNAL COMBUSTION ENGINE GENERATORS, NESOI",102.73,92.99,155.36,181.77,0.5424,0.4181,0.7095,0.8213,17
Alabama,21,830230,OTH BS METL MOUNTNGS FTTNGS ETC FOR MOTOR VEH,166.77,174.19,191.39,179.58,0.8805,0.7831,0.874,0.8114,-6.17
Alabama,22,870850,DRIVE AXLES WITH DIFFERENTIAL FOR MOTOR VEHIC,82.15,185.85,138.4,174.97,0.4337,0.8356,0.632,0.7906,26.43
Alabama,23,851140,INTERNAL COMBUSTION ENGINE STARTER MOTORS,62.63,54.38,135.72,162.68,0.3307,0.2445,0.6198,0.7351,19.87
